,c,sigma,noise,algorithm,ari
0,60,0.45,0.26249999999999996,DiSim,0.21765508431595135
0,60,0.45,0.26249999999999996,Herm,0.3935318769365322
0,30,0.05,0.35,DiSim,0.18250026031229222
0,30,0.05,0.35,Herm,0.22371037877840727
0,30,0.25,0.35,DiSim,0.1286173241145015
0,30,0.25,0.35,Herm,0.14538844197934772
0,30,0.45,0.35,DiSim,0.1318630903689609
0,30,0.45,0.35,Herm,0.14743580654636584
0,45,0.05,0.35,DiSim,0.15797738455801874
0,45,0.05,0.35,Herm,0.3205483598488755
0,45,0.25,0.35,DiSim,0.1605648809601792
0,45,0.25,0.35,Herm,0.22002833464451188
0,45,0.45,0.35,DiSim,0.16742981609523475
0,45,0.45,0.35,Herm,0.19096150594861508
0,60,0.05,0.35,DiSim,0.1603790647491541
0,60,0.05,0.35,Herm,0.4417561807675943
0,60,0.25,0.35,DiSim,0.14252835230863242
0,60,0.25,0.35,Herm,0.28895148554245503
0,60,0.45,0.35,DiSim,0.1883228735911376
0,60,0.45,0.35,Herm,0.21561715947451887
0,30,0.05,0.0,DiSim,0.33521952221055423
0,30,0.05,0.0,Herm,0.5080169569968299
0,30,0.25,0.0,DiSim,0.4389684958869841
0,30,0.25,0.0,Herm,0.48906933575019057
0,30,0.45,0.0,DiSim,0.46507058468668433
0,30,0.45,0.0,Herm,0.5560523186552888
0,45,0.05,0.0,DiSim,0.36086016624652995
0,45,0.05,0.0,Herm,0.5253712697037369
0,45,0.25,0.0,DiSim,0.4398594445089248
0,45,0.25,0.0,Herm,0.5145283053845179
0,45,0.45,0.0,DiSim,0.576369830470497
0,45,0.45,0.0,Herm,0.6127981780821226
0,60,0.05,0.0,DiSim,0.38792813108188284
0,60,0.05,0.0,Herm,0.5271476025045516
0,60,0.25,0.0,DiSim,0.4638703697153151
0,60,0.25,0.0,Herm,0.5080807454588264
0,60,0.45,0.0,DiSim,0.6058231809405693
0,60,0.45,0.0,Herm,0.5843483804709736
0,30,0.05,0.0875,DiSim,0.23266288510411154
0,30,0.05,0.0875,Herm,0.4812836909177172
0,30,0.25,0.0875,DiSim,0.2609254156113862
0,30,0.25,0.0875,Herm,0.47293636788954574
0,30,0.45,0.0875,DiSim,0.2742006238076124
0,30,0.45,0.0875,Herm,0.5590633568069046
0,45,0.05,0.0875,DiSim,0.1766058759328685
0,45,0.05,0.0875,Herm,0.5137691547058756
0,45,0.25,0.0875,DiSim,0.23475744223600345
0,45,0.25,0.0875,Herm,0.5054639412354599
0,45,0.45,0.0875,DiSim,0.33733659209150474
0,45,0.45,0.0875,Herm,0.6015465592524659
0,60,0.05,0.0875,DiSim,0.18494324662941894
0,60,0.05,0.0875,Herm,0.5213258261211184
0,60,0.25,0.0875,DiSim,0.24509302388701038
0,60,0.25,0.0875,Herm,0.506419800109272
0,60,0.45,0.0875,DiSim,0.36580783546273576
0,60,0.45,0.0875,Herm,0.6085360670751184
0,30,0.05,0.175,DiSim,0.2207068464797496
0,30,0.05,0.175,Herm,0.4489604612312825
0,30,0.25,0.175,DiSim,0.22722245406118635
0,30,0.25,0.175,Herm,0.42327307870817654
0,30,0.45,0.175,DiSim,0.24525808682618483
0,30,0.45,0.175,Herm,0.39626939491456376
0,45,0.05,0.175,DiSim,0.2045891643190638
0,45,0.05,0.175,Herm,0.49778668675336335
0,45,0.25,0.175,DiSim,0.2607155824976694
0,45,0.25,0.175,Herm,0.48126848554799073
0,45,0.45,0.175,DiSim,0.22762658926477425
0,45,0.45,0.175,Herm,0.5504337939630327
0,60,0.05,0.175,DiSim,0.17080308092230007
0,60,0.05,0.175,Herm,0.5130750874263202
0,60,0.25,0.175,DiSim,0.2152601632280052
0,60,0.25,0.175,Herm,0.4999620054291552
0,60,0.45,0.175,DiSim,0.266554014451047
