,model,p,noise,algorithm,ari
0,DSBM_PA,0.008,0.35,DiSim,-0.00012964503348807
0,DSBM_PA,0.008,0.35,Herm,0.0001384291516924468
0,DSBM,0.002,0.0,DiSim,0.5638643783028333
0,DSBM,0.002,0.0,Herm,0.9988751502297344
0,DSBM_PA,0.002,0.0,DiSim,0.08135722990662309
0,DSBM_PA,0.002,0.0,Herm,0.344292513023554
0,DSBM,0.004,0.0,DiSim,0.708549262854412
0,DSBM,0.004,0.0,Herm,1.0
0,DSBM_PA,0.004,0.0,DiSim,0.296383887568316
0,DSBM_PA,0.004,0.0,Herm,0.4156670174323258
0,DSBM,0.006,0.0,DiSim,0.7418311263355158
0,DSBM,0.006,0.0,Herm,1.0
0,DSBM_PA,0.006,0.0,DiSim,0.3248220989392904
0,DSBM_PA,0.006,0.0,Herm,0.456306203602238
0,DSBM,0.008,0.0,DiSim,0.8439962185478189
0,DSBM,0.008,0.0,Herm,1.0
0,DSBM_PA,0.008,0.0,DiSim,0.35113339725521103
0,DSBM_PA,0.008,0.0,Herm,0.4500068719628713
0,DSBM,0.002,0.0875,DiSim,0.371706903105584
0,DSBM,0.002,0.0875,Herm,0.9722420888435803
0,DSBM_PA,0.002,0.0875,DiSim,0.0019839630725066045
0,DSBM_PA,0.002,0.0875,Herm,0.22687468360959853
0,DSBM,0.004,0.0875,DiSim,0.6359862678379518
0,DSBM,0.004,0.0875,Herm,0.9997500125093777
0,DSBM_PA,0.004,0.0875,DiSim,0.002138712111713439
0,DSBM_PA,0.004,0.0875,Herm,0.33640926047334474
0,DSBM,0.006,0.0875,DiSim,0.7076812562042957
0,DSBM,0.006,0.0875,Herm,1.0
0,DSBM_PA,0.006,0.0875,DiSim,0.23763335857318027
0,DSBM_PA,0.006,0.0875,Herm,0.37432570868732334
0,DSBM,0.008,0.0875,DiSim,0.7301630838780967
0,DSBM,0.008,0.0875,Herm,1.0
0,DSBM_PA,0.008,0.0875,DiSim,0.30416291056880707
0,DSBM_PA,0.008,0.0875,Herm,0.4030995845494753
0,DSBM,0.002,0.175,DiSim,0.23032771666827986
0,DSBM,0.002,0.175,Herm,0.8181420132907471
0,DSBM_PA,0.002,0.175,DiSim,0.000326383210017529
0,DSBM_PA,0.002,0.175,Herm,0.003786370074963649
0,DSBM,0.004,0.175,DiSim,0.3922268328510811
0,DSBM,0.004,0.175,Herm,0.9882984111012368
0,DSBM_PA,0.004,0.175,DiSim,0.00012545854702742564
0,DSBM_PA,0.004,0.175,Herm,0.0034691789286521602
0,DSBM,0.006,0.175,DiSim,0.5713362343719973
0,DSBM,0.006,0.175,Herm,0.9991251062953226
0,DSBM_PA,0.006,0.175,DiSim,0.0002163099054918619
0,DSBM_PA,0.006,0.175,Herm,0.0023318763630865566
0,DSBM,0.008,0.175,DiSim,0.6481015867025611
0,DSBM,0.008,0.175,Herm,1.0
