,p,noise,tau,algorithm,ari
0,0.006,0.15,0.85,DiSim,0.09438362475917557
0,0.006,0.15,0.85,Herm,0.0031421462453473325
0,0.006,0.15,1,DiSim,0.09432452094908104
0,0.006,0.15,1,Herm,0.0024952653351172924
0,0.006,0.15,1.15,DiSim,0.09440404488007176
0,0.006,0.15,1.15,Herm,0.002383260186268083
0,0.006,0.15,1.25,DiSim,0.09441248672134923
0,0.006,0.15,1.25,Herm,0.0022460142429539323
0,0.006,0.15,1.6,DiSim,0.09441628471418673
0,0.006,0.15,1.6,Herm,0.0019223036141310205
0,0.006,0.15,2,DiSim,0.09374107354470185
0,0.006,0.15,2,Herm,0.0019625485507865433
0,0.006,0.15,3,DiSim,0.09445650627184864
0,0.006,0.15,3,Herm,0.0015478020241328505
