,c,k,noise,tau,algorithm,ari
0,20,3,0.0,0.85,Herm,3.442339350524403e-05
0,20,3,0.0,1,DiSim,0.8047060341904433
0,20,3,0.0,1,Herm,0.00010727887088182943
0,20,3,0.0,1.15,DiSim,0.8047060341904433
0,20,3,0.0,1.15,Herm,4.5980214824201725e-05
0,20,3,0.0,1.25,DiSim,0.8047060341904433
0,20,3,0.0,1.25,Herm,4.1836143167433337e-05
0,20,3,0.0,1.6,DiSim,0.8047060341904433
0,20,3,0.0,1.6,Herm,0.00014528684358534465
0,20,3,0.0,2,DiSim,0.8047060341904433
0,20,3,0.0,2,Herm,0.00020694818643577888
0,20,3,0.0,3,DiSim,0.8047060341904433
0,20,3,0.0,3,Herm,0.00015491264761512572
0,60,3,0.0,0.1,DiSim,0.9241373766608922
0,60,3,0.0,0.1,Herm,0.001014838560390797
0,60,3,0.0,0.4,DiSim,0.9241373766608922
0,60,3,0.0,0.4,Herm,0.0009858698096767177
0,60,3,0.0,0.75,DiSim,0.9241373766608922
0,60,3,0.0,0.75,Herm,0.0007229859476132551
0,60,3,0.0,0.85,DiSim,0.9241373766608922
0,60,3,0.0,0.85,Herm,0.0007197235219710308
0,60,3,0.0,1,DiSim,0.9241373766608922
0,60,3,0.0,1,Herm,0.0006886300568776547
0,60,3,0.0,1.15,DiSim,0.9241373766608922
0,60,3,0.0,1.15,Herm,0.0005887386518742997
0,60,3,0.0,1.25,DiSim,0.9241373766608922
0,60,3,0.0,1.25,Herm,0.0007562192195369446
0,60,3,0.0,1.6,DiSim,0.9241373766608922
0,60,3,0.0,1.6,Herm,0.0005939122833823023
0,60,3,0.0,2,DiSim,0.9241373766608922
0,60,3,0.0,2,Herm,0.00025666080544889646
0,60,3,0.0,3,DiSim,0.9241373766608922
0,60,3,0.0,3,Herm,7.109702311046056e-06
0,20,5,0.0,0.1,DiSim,0.804818918040816
0,20,5,0.0,0.1,Herm,0.702905708609172
0,20,5,0.0,0.4,DiSim,0.803657084534391
0,20,5,0.0,0.4,Herm,0.7054748436842049
0,20,5,0.0,0.75,DiSim,0.8036716963326397
0,20,5,0.0,0.75,Herm,0.7128059817272406
0,20,5,0.0,0.85,DiSim,0.803657084534391
0,20,5,0.0,0.85,Herm,0.7109191495446301
0,20,5,0.0,1,DiSim,0.804818918040816
0,20,5,0.0,1,Herm,0.7075215087721688
0,20,5,0.0,1.15,DiSim,0.8037832899753077
0,20,5,0.0,1.15,Herm,0.7053883484667894
0,20,5,0.0,1.25,DiSim,0.8035455099076576
0,20,5,0.0,1.25,Herm,0.7030021529982587
0,20,5,0.0,1.6,DiSim,0.8037832899753077
0,20,5,0.0,1.6,Herm,0.69419442117976
0,20,5,0.0,2,DiSim,0.8037832899753077
0,20,5,0.0,2,Herm,0.4884378788135339
0,20,5,0.0,3,DiSim,0.8037832899753077
0,20,5,0.0,3,Herm,0.44449241902511766
